序号,网站名称,网站描述,网址,来源
1,卖家中心,淘宝卖家中心,https://myseller.taobao.com,http://maijiadaquan.com/
2,服务市场,阿里巴巴旗下商家服务市场,https://fuwu.taobao.com/,http://maijiadaquan.com/
3,假打假,淘宝差评师、打假师、旺旺黑号、恶意差评查询共享平台,http://jiadajia.cn,http://maijiadaquan.com/
4,卖家中心,淘宝卖家中心,https://myseller.taobao.com,http://maijiadaquan.com/
5,服务市场,阿里巴巴旗下商家服务市场,https://fuwu.taobao.com/,http://maijiadaquan.com/
6,假打假,淘宝差评师、打假师、旺旺黑号、恶意差评查询共享平台,http://jiadajia.cn,http://maijiadaquan.com/
7,淘宝论坛 - 淘宝网,"讨论小组,淘宝,掏宝,购物,生活,分享,show,秀,商品,电子商务,社区,消费者社区,论坛,资讯,热门话题,朋友,网上购物,C2C,在线交易,交易市场,网上交易。",https://index.bbs.taobao.com/home.html,http://maijiadaquan.com/
8,淘宝规则,淘宝规则.,https://rule.taobao.com/index.htm,http://maijiadaquan.com/
9,天猫商家规则,天猫商家规则,https://guize.tmall.com/,http://maijiadaquan.com/
10,交易安全-淘宝网,淘宝网-亚洲最大、最安全的网上交易平台，提供各类服饰、美容、家居、数码、话费/点卡充值……2亿优质特价商品，同时提供担保交易(先收货后付款)、先行赔付、假一赔三、七天无理由退换货、数码免费维修等安全交易保障服务，让你全面安心享受网上购物乐趣。,http://trust.taobao.com/,http://maijiadaquan.com/
11,天猫商家成长首页,天猫商家成长首页.,https://pages.tmall.com/wow/seller/act/zhikuindex,http://maijiadaquan.com/
12,千牛头条,千牛头条,https://alimarket.taobao.com/markets/qnww/qn-news,http://maijiadaquan.com/
13,淘宝大学,淘宝大学是阿里巴巴集团旗下核心教育培训部门。淘宝大学以帮助网商成长为己任，通过分析电商行业脉动，立足网商成长所需，整合阿里集团内外及行业内优势资源，目前已成为一个线上线下多元化、全方位的电商学习平台。,https://daxue.taobao.com/,http://maijiadaquan.com/
14,万堂书院,万堂书院,https://shuyuan.taobao.com/,http://maijiadaquan.com/
15,电商在线,专注电商行业的观点分享平台。整合和精编全网资讯、多方位信息覆盖。拥有最全电商知识体系，资深电商专家专栏，无门槛卖家活动圈子，致力于打造电商行业最具权威的知识库。最及时电商资讯，最深度淘宝解读，最全面营销技巧。轻松做卖家，上电商在线就够了！,http://www.imaijia.com/,http://maijiadaquan.com/
16,网商在线,网商在线(www.wshang.com)是阿里巴巴天下网商旗下网站，是专业的电商人交流学习社区，提供行业资讯，专业的人际关系发展渠道，营造专业的知识交流学习氛围；旨在帮助网商群体的成长和发展壮大！,http://www.wshang.com/,http://maijiadaquan.com/
17,思路商道,思路商道频道是思路旗下的资讯频道，专注于电商服务资讯。帮助企业找到合适的电商服务，发布电商服务资讯，帮助企业了解做电商，如何挑选合适的服务商。,http://www.siilu.com/news/,http://maijiadaquan.com/
18,天下网商,天下网商掌握权威的电商资讯和人脉，专注为新网商提供专业原创的电商资讯、知识，同时还提供天猫和淘宝商家集培训、营销、实战于一体的系统化服务，成为电商第一入口,http://i.wshang.com/,http://maijiadaquan.com/
19,看电商,看电商具影响力的电子商务媒体网站，专注为电商卖家提供专业的淘宝、天猫、零售电商、跨境电商等领域与方向，提供资讯新闻、电商人物、行业趋势、互联网广告等业务、商家培训、推广营销等一体化服务。,https://kandianshang.com/,http://maijiadaquan.com/
20,电商报,电商报是国内最具影响力的电子商务媒体和电子商务专业研究机构之一，关注并24小时播报B2B、B2C、C2C、外贸、移动电商等电商领域最新动态，揭示电子商务行业发展趋势和热点话题。,http://www.dsb.cn/,http://maijiadaquan.com/
21,hishop电商学院,"hishop电商学院整编电子商务专业知识,提供各大网店怎么开详细步骤,新手开网店运营技巧,电商企业运营等干货,致力于为广大从事电商的新手和企业提供一个学习平台.",https://www.hishop.com.cn/ecschool/,http://maijiadaquan.com/
22,学电商,学电商以帮助网商成长为己任，通过分析电商行业脉动，立足网商成长所需，整合淘宝大学、京东商学院及行业内优势资源，目前已成为一个线上线下多元化、全方位的电商学习平台。,https://xuedianshang.com/,http://maijiadaquan.com/
23,网经社,网经社包括电子商务资讯中心、研究中心、服务中心等平台，推动制造业、零售业、服务业、金融业、农业、进出口的互联网化，平台核心订阅用户为数百万电商产业链中高端人士。,http://b2b.toocle.com/,http://maijiadaquan.com/
24,阿里研究院,阿里研究院,http://www.aliresearch.com/,http://maijiadaquan.com/
25,亿邦动力网,C2C平台有哪些？C2C模式未来发展如何？淘宝、eBay和拍拍网各有哪些不同？更多关于淘宝、eBay、拍怕的信息，关注亿邦动力网C2C电商新闻。,http://www.ebrun.com/retail/c2c/,http://maijiadaquan.com/
26,派代网,派代网定位为中国电子商务的入口，目前是中国最活跃、最具影响力的电子商务行业交流平台，聚集了大量的电子商务领军企业创始人群。提供电商学习、人才招聘、企业贷款等电子商务综合服务。,http://www.paidai.com/,http://maijiadaquan.com/
27,卖家网,卖家网资讯频道电商焦点栏目提供最新电商资讯，电子商务行业焦点新闻，方便淘宝天猫卖家每日了解行业动态，看电商新闻，就上卖家资讯。,http://www.maijia.com/news/cate-yejiexinwen,http://maijiadaquan.com/
28,淘六六淘宝论坛,淘六六淘宝论坛由小黑哥创办的一家专业的淘宝SEO搜索优化、淘宝培训、淘宝直通车推广培训，提供淘宝大学免费课程、淘宝大学首页视频教程、爆款打造的淘宝大学论坛,http://bbs.tao66.com/,http://maijiadaquan.com/
29,TB58论坛,"『TB58论坛』作为淘宝卖家社区交流论坛首页,为您免费分享淘宝卖家如何开店运营推广,淘宝如何打造爆款方法步骤,淘宝如何刷改销量,淘宝黑搜,直通车黑车等相关技巧技术教程,资源,工具！",http://www.tb58.net/,http://maijiadaquan.com/
30,淘宝运营论坛,"淘宝运营论坛TaobaoTS,淘宝卖家社区,淘宝新手卖家开店运营教程,淘宝打造爆款技巧,淘宝美工设计装修教程分享,淘宝装修特效代码在线生成,专业淘宝卖家开店运营经验交流学习平台.",http://www.taobaots.com/,http://maijiadaquan.com/
31,真刷淘宝卖家论坛,"最新淘宝干货分享,真刷淘宝卖家论坛.",http://www.zhenshua.com/,http://maijiadaquan.com/
32,淘巧论坛,数十万淘宝卖家的沟通学习的论坛，分享打造爆款的经验，学习钻石展位和直通车的高手经验，高转化率的装修模板，提升交易的客服技巧等等。,http://bbs.taoqao.com,http://maijiadaquan.com/
33,卖一把论坛,卖一把论坛（www.mai18.net）-淘宝卖家论坛是一个专为广大中小淘宝卖家提供交流学习淘宝刷单、淘宝爆款打造、淘宝运营营销推广等，汇集分享各种淘宝卖家工具软件、淘宝培训视频教程资源的淘宝社区论坛，助力淘宝卖家盈利更快成长。淘宝卖家学习，首选卖一把论坛！,http://www.mai18.net,http://maijiadaquan.com/
34,句易网,句易网-2018年最新广告法淘宝违禁词敏感词在线查询检测工具,http://www.ju1.cn/,http://maijiadaquan.com/
35,广告禁用词查询系统,广告禁用词查询系统（公众版）,http://www.jinyongci.com/,http://maijiadaquan.com/
36,违禁词查询网,广告违禁词_禁用词_敏感词在线查询系统-违禁词查询网,https://www.chaciwang.com/,http://maijiadaquan.com/
37,假打假,淘宝差评师、打假师、旺旺黑号、恶意差评查询共享平台,http://jiadajia.cn,http://maijiadaquan.com/
38,查小号,查小号131458淘宝信誉查询_淘宝小号信誉查询_买家卖家信用查询,http://www.chaxiaohao.com/,http://maijiadaquan.com/
39,131458卖家工具箱,淘宝信用查询_卖家信用查询_淘宝买家信用查询_防止恶意链接降权_淘宝查询小号,http://www.131458.com/,http://maijiadaquan.com/
40,亲查查,亲查查_淘宝买家旺旺信誉查询_打假职业差评师查询网站,http://www.qinchacha.com/,http://maijiadaquan.com/
41,淘发客卖家工具箱,淘宝信誉查询_提供淘宝买家信用查询_卖家信用查询_淘宝小号查询,http://www.taofake.com/,http://maijiadaquan.com/
42,安钱系统,淘宝职业打假人查询黑名单|刷单恶意退款|淘宝买家信誉查询,http://www.jqs360.com/,http://maijiadaquan.com/
43,掌柜查查,掌柜查查-反打假_防敲诈_曝光恶人_职业打假人查询_差评师查询,https://www.zgchacha.com/,http://maijiadaquan.com/
44,查排名,查排名-天猫直通车淘宝宝贝关键词排名查询卖家店铺优化工具箱,http://cpm.zhibi365.com/taochacha.htm,http://maijiadaquan.com/
45,淘举报网,淘举报网（960180.com)_旺旺举报_淘宝举报_投诉举报查询_差评师查询_骗子举报网-让您安全、放心网购！,http://www.960180.com/,http://maijiadaquan.com/
46,反恶联盟,反恶联盟-反打假_防敲诈_职业打假人查询_淘宝信誉查询,http://www.felmvip.com/,http://maijiadaquan.com/
47,淘测测小号查询,淘宝信誉查询_职业差评师查询_买家信誉查询_淘宝小号信誉查询_淘宝信用查询_淘宝查信誉_淘测测小号查询,http://www.taocece.com/,http://maijiadaquan.com/
